FID (m),Height,Euc FID,Conspecifics Present,Human Activity,Site,Flew.hop
0.5,2,2.061552813,1,0,James,
0.5,0,0.5,1,1,UCLA,Flew
1.25,0,1.25,2,,UCLA,Flew
1.5,0,1.5,1,3,UCLA,Hop
0.75,0.5,0.901387819,3,1,UCLA,Flew
1.375,0,1.375,1,1,UCLA,Hop
1.125,0,1.125,1,1,UCLA,Hop
2.375,0,2.375,0,0,Oxy,Flew
1.5,0,1.5,2,0,Oxy,Flew
1.5,0,1.5,1,3,UCLA,Hop
2,0,2,1,0,UCLA,Flew
1,0,1,2,0,UCSB,Flew
1.5,0,1.5,1,0,UCSB,Hop
1.25,0,1.25,1,1,UCSD,Flew
1,0.3,1.044030651,1,1,UCSD,Flew
0.625,0,0.625,2,3,UCSD,Flew
2.5,0,2.5,0,0,UCLA,Flew
0.75,0,0.75,3,,UCSB,Hop
1,0,1,3,0,UCSB,Flew
1.125,0,1.125,1,0,UCSB,Flew
1,0,1,3,0,UCSB,Hop
1.375,0,1.375,0,1,UCSB,Hop
0.875,0,0.875,1,2,UCLA,Flew
1.5,0,1.5,1,0,UCLA,Flew
2,0,2,0,1,UCLA,Flew
1.5,0,1.5,0,1,UCLA,
1,0,1,1,1,UCLA,Flew
0.5,0,0.5,0,1,UCLA,
0.5,0,0.5,1,,UCLA,Hop
0.5,0,0.5,,,UCLA,
8,0,8,0,3,UCLA,
1.5,0,1.5,,,UCLA,
0.75,0,0.75,2,1,UCLA,Hop
9.6,0,9.6,0,0,James,Flew
1.25,0,1.25,0,1,UCLA,
1,0,1,1,1,UCLA,Flew
1,0,1,1,1,UCLA,Flew
2,0.3,2.022374842,1,,UCLA,
0.875,0,0.875,0,0,UCLA,Flew
1.5,0,1.5,0,1,UCLA,Flew
0.25,0,0.25,0,1,Oxy,
1.75,0,1.75,,,Oxy,
1,0,1,2,0,Oxy,
1,0,1,0,1,Oxy,
1,0,1,1,1,Oxy,Flew
1,0,1,0,1,UCLA,
0.625,0,0.625,0,1,UCLA,Hop
2,0,2,0,1,Oxy,Flew
2.5,0,2.5,2,0,Oxy,Flew
0.75,0,0.75,1,1,UCLA,
2,0,2,0,1,UCLA,
1.5,0,1.5,2,2,UCLA,Hop
0.75,0,0.75,4,1,UCLA,Hop
1.5,0,1.5,0,1,Oxy,
4.125,0,4.125,0,1,UCLA,Flew
2,0,2,0,1,UCLA,
1.5,0,1.5,,1,Oxy,
