Date,Time,"color band (XoYleft, right)",USGSno,Sex,Mate of,Urban_Native,Initial Distance (steps),Initial Distance (m),FID (steps),FID (m),Height,Euc FID,Conspecifics Present,Human Activity,Site,Flew.hop,DistanceTraveled,DistanceFromCover,InOpen.Cover,Vocal,Name,Notes,Stage,MeanFID,VarFID
7/25/2018,11:02,"HPDB/LG, DB/Al",2350-40490,M,,Native,12,6,1,0.5,2,2.061552813,1,0,James,,,,,,,"by bird feeders, one other junco present, flew 5 m to open bird feeders",,2.061552813,
6/13/2019,9:34,"BW/DB, LW/AL",2591-23832,M,,Urban,9,4.5,1,0.5,0,0.5,1,1,UCLA,Flew,0.5,0,C,Y,Chaz Bono,"juvie in area, one other human; flew half meter; 34.07411, -118.44048",,0.5,
6/19/2019,12:57,"R/Al, DB/L",2591-23861,M,,Urban,9,4.5,2.5,1.25,0,1.25,2,,UCLA,Flew,3,0.25,O,Y,Anderson Cooper,in front of science and engineering library engrance under overhand. With fledgling and mate in open; flew to cover,Fledgelings,1.25,
6/13/2019,14:20,"LB/Al, LG/DB",2591-23862,M,,Urban,,,3,1.5,0,1.5,1,3,UCLA,Hop,1,1,O,N,Bewick,"Forgot starting distance!!! With female. Medium traffic (3 m from pathway). In open 1 m from cover, hopped one meter to cover. 34.07200, -118.44137",,1.5,
5/22/2019,7:33,"LB/Al, DB/BW",2591-23866,M,,Urban,27,13.5,1.5,0.75,0.5,0.901387819,3,1,UCLA,Flew,0.5,0,C,N,Sami Flatto-Sharon,"With female and 2 fledglings, 2 humans in vicnity, in cover, flew to cover, E of facutly house parking lot",Fledgelings,0.901387819,
3/25/2019,8:18,"O/Al, R/Y",2591-23873,F,,Urban,9.5,4.75,2.75,1.375,0,1.375,1,1,UCLA,Hop,1,0.5,O,N,Ivy,"By Rendez-Vous, walked a few ft under cover, one male junco like 5 m away and one sam in vicinity",,1.375,
7/11/2019,14:15,"HPDB/Al, L/DG",2591-23875,M,,Urban,15,7.5,2.25,1.125,0,1.125,1,1,UCLA,Hop,0.5,1,O,Y,Kulture,"outside in molecular science on Charles E Young in grass 1 m from cover. After hopping, flew .5 m to cover and chipped. 1 person in vicinity",Fledgelings,1.125,
4/18/2019,9:49,"O/Al, LG/L",2591-23877,F,Eagle,Urban,22,11,4.75,2.375,0,2.375,0,0,Oxy,Flew,2,1.5,O,N,Merav,"no other juncos or humans within 50 ft; flew 2 m to cover. 34.12729, -118.21203",,1.9375,0.3828125
6/20/2019,11:53,"O/Al, LG/L",2591-23877,F,Eagle,Urban,12.25,6.125,3,1.5,0,1.5,2,0,Oxy,Flew,1,1,O,Y,Merav,"34.12773, -118.21144; male and fledgling present",Fledgelings,1.9375,0.3828125
4/3/2019,10:45,"L/Al, BW/DG",2591-23879,M,,Urban,14,7,3,1.5,0,1.5,1,3,UCLA,Hop,0.5,3,O,N,The Junco Formerly Known As Prince,,,1.5,
